Init time, 0.050705
Iteration: 1, 0.069456, 0.120161
Iteration: 2, 0.097611, 0.219921
Iteration: 3, 0.063889, 0.285885
Iteration: 4, 0.071400, 0.367603
Iteration: 5, 0.087848, 0.457543
Iteration: 6, 0.067216, 0.527079
Iteration: 7, 0.081532, 0.610672
Iteration: 8, 0.072661, 0.685339
Iteration: 9, 0.065278, 0.752616
Iteration: 10, 0.064791, 0.819599
Iteration: 11, 0.064138, 0.885748
Iteration: 12, 0.064334, 0.952055
Iteration: 13, 0.064088, 1.018185
Iteration: 14, 0.064679, 1.084840
Iteration: 15, 0.064229, 1.151064
Iteration: 16, 0.061615, 1.214598
Iteration: 17, 0.082354, 1.298951
Iteration: 18, 0.073822, 1.374700
Iteration: 19, 0.082767, 1.464919
Iteration: 20, 0.093712, 1.561106
Iteration: 21, 0.070396, 1.633995
Iteration: 22, 0.067413, 1.703416
Iteration: 23, 0.091607, 1.796975
Iteration: 24, 0.080882, 1.880585
Iteration: 25, 0.069685, 1.954276
Iteration: 26, 0.076412, 2.032656
Iteration: 27, 0.072532, 2.107667
Iteration: 28, 0.087701, 2.198352
Iteration: 29, 0.129798, 2.336024
Iteration: 30, 0.150625, 2.494191
Iteration: 31, 0.136901, 2.634627
Iteration: 32, 0.145076, 2.787192
Iteration: 33, 0.075321, 2.865298
Iteration: 34, 0.077221, 2.944505
Iteration: 35, 0.079657, 3.027469
Iteration: 36, 0.065938, 3.095487
Iteration: 37, 0.064806, 3.162325
Iteration: 38, 0.066018, 3.230404
Iteration: 39, 0.065738, 3.298140
Iteration: 40, 0.065034, 3.365171
Iteration: 41, 0.062635, 3.429711
Iteration: 42, 0.095791, 3.527578
Iteration: 43, 0.077745, 3.608832
Iteration: 44, 0.075858, 3.686805
Iteration: 45, 0.067873, 3.758255
Iteration: 46, 0.065979, 3.826568
Iteration: 47, 0.065372, 3.893962
Iteration: 48, 0.142458, 4.038388
Iteration: 49, 0.068993, 4.111374
Iteration: 50, 0.061665, 4.175041
Iteration: 51, 0.066233, 4.243481
Iteration: 52, 0.065592, 4.311068
Iteration: 53, 0.064305, 4.377337
Iteration: 54, 0.080069, 4.459314
Iteration: 55, 0.087722, 4.550287
Iteration: 56, 0.080425, 4.633362
Iteration: 57, 0.064198, 4.699530
Iteration: 58, 0.061891, 4.763345
Iteration: 59, 0.064293, 4.829763
Iteration: 60, 0.065191, 4.896917
Iteration: 61, 0.064532, 4.963428
Iteration: 62, 0.063338, 5.028717
Iteration: 63, 0.066067, 5.096799
Iteration: 64, 0.066791, 5.165630
Iteration: 65, 0.069638, 5.237311
Iteration: 66, 0.088514, 5.328473
Iteration: 67, 0.076375, 5.407432
Iteration: 68, 0.063697, 5.473520
Iteration: 69, 0.065293, 5.541191
Iteration: 70, 0.065620, 5.609221
Iteration: 71, 0.077651, 5.688934
Iteration: 72, 0.066497, 5.757683
Iteration: 73, 0.067512, 5.827733
Iteration: 74, 0.068017, 5.897794
Iteration: 75, 0.067107, 5.967409
Iteration: 76, 0.061719, 6.031044
Iteration: 77, 0.064621, 6.097719
Iteration: 78, 0.064701, 6.164425
Iteration: 79, 0.063904, 6.230362
Iteration: 80, 0.064052, 6.296821
Iteration: 81, 0.065723, 6.374993
Iteration: 82, 0.066224, 6.443586
Iteration: 83, 0.064763, 6.510410
Iteration: 84, 0.065611, 6.578019
Iteration: 85, 0.066244, 6.646363
Iteration: 86, 0.062347, 6.710645
Iteration: 87, 0.065802, 6.778493
Iteration: 88, 0.065478, 6.845970
Iteration: 89, 0.067283, 6.915607
Iteration: 90, 0.071651, 6.989232
Iteration: 91, 0.069340, 7.060675
Iteration: 92, 0.065582, 7.128371
Iteration: 93, 0.065106, 7.195551
Iteration: 94, 0.064149, 7.261746
Iteration: 95, 0.064079, 7.327935
Iteration: 96, 0.062014, 7.391924
Iteration: 97, 0.066516, 7.460492
Iteration: 98, 0.066959, 7.529507
Iteration: 99, 0.066130, 7.597691
Iteration: 100, 0.064817, 7.664414
Iteration: 101, 0.064994, 7.731479
Iteration: 102, 0.066013, 7.799501
Iteration: 103, 0.065394, 7.866953
Iteration: 104, 0.065588, 7.934637
Iteration: 105, 0.065969, 8.002682
Iteration: 106, 0.065464, 8.070084
Iteration: 107, 0.074980, 8.147125
Iteration: 108, 0.068074, 8.217241
Iteration: 109, 0.064528, 8.283810
Iteration: 110, 0.062184, 8.347923
Iteration: 111, 0.064889, 8.414876
Iteration: 112, 0.064412, 8.481304
Iteration: 113, 0.063961, 8.547279
Iteration: 114, 0.065675, 8.614951
Iteration: 115, 0.066254, 8.683305
Iteration: 116, 0.065036, 8.750294
Iteration: 117, 0.065334, 8.817684
Iteration: 118, 0.065144, 8.884834
Iteration: 119, 0.069307, 8.956231
Iteration: 120, 0.075768, 9.034795
Iteration: 121, 0.073912, 9.111436
Iteration: 122, 0.074047, 9.187555
Iteration: 123, 0.069980, 9.259715
Iteration: 124, 0.079836, 9.341907
Iteration: 125, 0.080293, 9.424818
Iteration: 126, 0.062312, 9.489568
Iteration: 127, 0.065076, 9.557033
Iteration: 128, 0.064110, 9.623696
Iteration: 129, 0.063850, 9.689932
Iteration: 130, 0.061784, 9.753937
Iteration: 131, 0.064447, 9.820420
Iteration: 132, 0.068145, 9.891227
Iteration: 133, 0.066519, 9.960960
Iteration: 134, 0.065868, 10.028853
Iteration: 135, 0.063225, 10.093997
Iteration: 136, 0.065979, 10.162067
Iteration: 137, 0.065700, 10.229799
Iteration: 138, 0.063993, 10.295844
Iteration: 139, 0.063506, 10.361315
Iteration: 140, 0.075016, 10.438372
Iteration: 141, 0.080730, 10.522194
Iteration: 142, 0.080227, 10.605221
Iteration: 143, 0.076468, 10.684408
Iteration: 144, 0.075834, 10.762545
Iteration: 145, 0.074942, 10.840099
Iteration: 146, 0.071298, 10.914194
Iteration: 147, 0.074287, 10.990988
Iteration: 148, 0.063684, 11.056935
Iteration: 149, 0.066827, 11.126160
Iteration: 150, 0.086220, 11.214533
Iteration: 151, 0.067998, 11.284578
Iteration: 152, 0.071095, 11.357749
Iteration: 153, 0.078319, 11.438817
Iteration: 154, 0.064666, 11.505595
Iteration: 155, 0.066145, 11.573775
Iteration: 156, 0.067649, 11.643791
Iteration: 157, 0.066537, 11.712435
Iteration: 158, 0.068148, 11.782524
