Init time, 0.032323
Iteration: 1, 0.043021, 0.075344
Iteration: 2, 0.022709, 0.098054
Iteration: 3, 0.028065, 0.126120
Iteration: 4, 0.022633, 0.148754
Iteration: 5, 0.025648, 0.174403
Iteration: 6, 0.024723, 0.199127
Iteration: 7, 0.020111, 0.219239
Iteration: 8, 0.021410, 0.240651
Iteration: 9, 0.020164, 0.260817
Iteration: 10, 0.017679, 0.278497
Iteration: 11, 0.020680, 0.299179
Iteration: 12, 0.017313, 0.316494
Iteration: 13, 0.019949, 0.336444
Iteration: 14, 0.021256, 0.357702
Iteration: 15, 0.021169, 0.378872
Iteration: 16, 0.022502, 0.401375
Iteration: 17, 0.022043, 0.423419
Iteration: 18, 0.024977, 0.448398
Iteration: 19, 0.021735, 0.470135
Iteration: 20, 0.027113, 0.497249
Iteration: 21, 0.023301, 0.520551
Iteration: 22, 0.022941, 0.543494
Iteration: 23, 0.021243, 0.564739
Iteration: 24, 0.022850, 0.587590
Iteration: 25, 0.023306, 0.610897
Iteration: 26, 0.025700, 0.636598
Iteration: 27, 0.022226, 0.658825
Iteration: 28, 0.021663, 0.680489
Iteration: 29, 0.023106, 0.703596
Iteration: 30, 0.022699, 0.726296
Iteration: 31, 0.018618, 0.744915
Iteration: 32, 0.022467, 0.767383
Iteration: 33, 0.021700, 0.789085
Iteration: 34, 0.017327, 0.806413
Iteration: 35, 0.022073, 0.828488
Iteration: 36, 0.025990, 0.854479
Iteration: 37, 0.028018, 0.882499
Iteration: 38, 0.030284, 0.912784
Iteration: 39, 0.021297, 0.934082
Iteration: 40, 0.023580, 0.957663
Iteration: 41, 0.024834, 0.982499
Iteration: 42, 0.024812, 1.007313
Iteration: 43, 0.020213, 1.027528
Iteration: 44, 0.029635, 1.057164
Iteration: 45, 0.019594, 1.076760
Iteration: 46, 0.024314, 1.101075
Iteration: 47, 0.028965, 1.130042
Iteration: 48, 0.029386, 1.159430
Iteration: 49, 0.018968, 1.178399
Iteration: 50, 0.025203, 1.203604
Iteration: 51, 0.023220, 1.226825
Iteration: 52, 0.024429, 1.251255
Iteration: 53, 0.019978, 1.271235
Iteration: 54, 0.022238, 1.293474
Iteration: 55, 0.021593, 1.315068
Iteration: 56, 0.018415, 1.333484
Iteration: 57, 0.022282, 1.355767
Iteration: 58, 0.020601, 1.376369
Iteration: 59, 0.023265, 1.399635
Iteration: 60, 0.024322, 1.423959
Iteration: 61, 0.024059, 1.448019
Iteration: 62, 0.020234, 1.468255
Iteration: 63, 0.020276, 1.488532
Iteration: 64, 0.023165, 1.511699
Iteration: 65, 0.029918, 1.541618
